sales_price,rating,delivery_type,amazon_prime__y_or_n,best_seller_tag__y_or_n,product_details__k_v_pairs/Customer_Reviews,discount_percentage
200,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 3 customer reviews,
265,3.6,fulfilled_by_merchant,N,N,3.0 out of 5 stars 3 customer reviews,
660,3.5,fulfilled_by_merchant,Y,N,3.7 out of 5 stars 23 customer reviews,
195,3,fulfilled_by_merchant,N,N,3.0 out of 5 stars 1 customer review,
1914,5,fulfilled_by_merchant,Y,N,Be the first to review this item,40%
350,4.1,fulfilled_by_merchant,N,N,4.7 out of 5 stars 4 customer reviews,36%
288,3.7,fulfilled_by_merchant,N,N,3.9 out of 5 stars 4 customer reviews,
919,2.9,fulfilled_by_merchant,Y,N,3.5 out of 5 stars 2 customer reviews,60%
,4.4,fulfilled_by_merchant,N,N,Be the first to review this item,
619,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,
,4.4,fulfilled_by_merchant,N,N,Be the first to review this item,
289,3.8,fulfilled_by_merchant,N,N,3.6 out of 5 stars 6 customer reviews,
462,2.5,fulfilled_by_merchant,N,N,3.0 out of 5 stars 1 customer review,
499,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,61%
329,3.7,fulfilled_by_amazon,N,N,3.3 out of 5 stars 4 customer reviews,67%
669,3.7,fulfilled_by_merchant,Y,N,3.5 out of 5 stars 12 customer reviews,
760,4,fulfilled_by_amazon,Y,N,Be the first to review this item,60%
210,4.5,fulfilled_by_merchant,N,N,4.5 out of 5 stars 4 customer reviews,
483,3.3,fulfilled_by_merchant,N,N,4.5 out of 5 stars 3 customer reviews,
599,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,
420,3.5,fulfilled_by_merchant,N,N,3.8 out of 5 stars 73 customer reviews,77%
522,4.1,fulfilled_by_amazon,Y,N,4.0 out of 5 stars 22 customer reviews,79%
249,3.2,fulfilled_by_merchant,Y,N,3.2 out of 5 stars 61 customer reviews,
399,3,fulfilled_by_merchant,N,N,3.0 out of 5 stars 1 customer review,
279,3.2,fulfilled_by_merchant,Y,N,3.2 out of 5 stars 3 customer reviews,65%
401,3.1,fulfilled_by_merchant,N,N,3.2 out of 5 stars 3 customer reviews,
3789,4,fulfilled_by_merchant,N,N,,
1499,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,
2565,4.1,fulfilled_by_merchant,N,N,,
1199,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,
2749,4.2,fulfilled_by_amazon,Y,N,Be the first to review this item,45%
,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 2 customer reviews,
2349,4.3,fulfilled_by_merchant,N,N,,20%
499,3,fulfilled_by_merchant,N,N,3.0 out of 5 stars 1 customer review,61%
355,4.5,fulfilled_by_amazon,N,N,Be the first to review this item,86%
249,3.6,fulfilled_by_merchant,N,N,3.6 out of 5 stars 7 customer reviews,50%
399,4.5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,
295,5,fulfilled_by_amazon,N,N,5.0 out of 5 stars 3 customer reviews,70%
799,4.2,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,60%
2639,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,45%
519,4.5,fulfilled_by_amazon,Y,N,4.5 out of 5 stars 10 customer reviews,60%
1034,4.7,fulfilled_by_merchant,Y,N,4.7 out of 5 stars 4 customer reviews,
379,3,fulfilled_by_merchant,N,N,3.0 out of 5 stars 1 customer review,69%
261,4,fulfilled_by_merchant,N,N,4.0 out of 5 stars 1 customer review,
637,3.1,fulfilled_by_merchant,N,N,3.1 out of 5 stars 2 customer reviews,
287,3.6,fulfilled_by_merchant,N,N,4.3 out of 5 stars 5 customer reviews,
331,5,fulfilled_by_merchant,N,N,Be the first to review this item,
469,3,fulfilled_by_amazon,N,N,3.0 out of 5 stars 1 customer review,65%
,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,
410,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,73%
251,4,fulfilled_by_merchant,N,N,4.3 out of 5 stars 3 customer reviews,
499,3.9,fulfilled_by_merchant,N,N,3.9 out of 5 stars 2 customer reviews,
648,3.5,fulfilled_by_merchant,Y,N,3.1 out of 5 stars 14 customer reviews,50%
1889,5,fulfilled_by_amazon,Y,N,5.0 out of 5 stars 1 customer review,73%
240,4,fulfilled_by_amazon,N,N,4.0 out of 5 stars 1 customer review,60%
849,3,fulfilled_by_merchant,Y,N,3.0 out of 5 stars 1 customer review,50%
373,3.4,fulfilled_by_merchant,N,N,3.5 out of 5 stars 7 customer reviews,
545,3.6,fulfilled_by_merchant,N,N,3.8 out of 5 stars 10 customer reviews,64%
,5,fulfilled_by_merchant,N,N,Be the first to review this item,
1490,5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,3%
2371,3.4,fulfilled_by_merchant,N,N,,
559,4.6,fulfilled_by_merchant,N,N,4.6 out of 5 stars 3 customer reviews,67%
199,4.5,fulfilled_by_merchant,N,N,5.0 out of 5 stars 1 customer review,20%
999,5,fulfilled_by_merchant,Y,N,5.0 out of 5 stars 1 customer review,
849,3.4,fulfilled_by_merchant,Y,N,3.0 out of 5 stars 1 customer review,50%
440,3.5,fulfilled_by_merchant,N,N,3.4 out of 5 stars 29 customer reviews,
